headline,label,score
Resolv stablecoin drops 70% after $80 million exploit after attacker mints USR,negative,0.9673887491226196
"Oil, silver trading is way more popular than XRP, solana on Hyperliquid",neutral,0.8296082615852356
"Stocks start catching up with bitcoin’s earlier price crash to $60,000 as bond yields rise",positive,0.8203114867210388
XRP drops 3.7% as break below $1.40 signals renewed downside risk,negative,0.9439626336097717
"Bitcoin holds $68,300 as gold crashes for a ninth day and Asian stocks drop",negative,0.9477428197860718
Sam Bankman-Fried’s parents tell CNN no customer money was lost. FTX creditors see it differently.,negative,0.5702078938484192
South Korea crypto liquidity tumbles as stablecoin balances plunge 55% and stock buying rises,negative,0.970032274723053
"If one trader can force the outcome of a prediction market, it shouldn’t be tradable",neutral,0.6717238426208496
The SEC explains how it's viewing a crypto security: State of Crypto,neutral,0.9368812441825867
"Ethereum faces make-or-break moment in high-stakes balancing act as scaling, quantum and AI pressures mount",neutral,0.5861987471580505
The genius and the danger of STRC: How Strategy’s new funding model bends so it doesn't break,neutral,0.9119796752929688
"Gold falters as macro pressures build, bitcoin holds liquidity trend",negative,0.8802040815353394
XRP falls 3% as breakdown below $1.44 and bitcoin weakness caps recovery,negative,0.9693713188171387
"Bitcoin miners are losing $19,000 on every BTC produced as difficulty drops 7.8%",negative,0.974750816822052
"Bitcoin drops below $69,200 as Trump gives 48-hour ultimatum on Iran power plants",negative,0.657622754573822
"Bitcoin options signal extreme fear as downside protection premium hits new all-time high, says VanEck",positive,0.813765823841095
"Crypto firms cut hundreds of jobs in weeks, blaming weak markets, strong AI",negative,0.9716187119483948
How DeFi is quietly rebuilding the fixed-income stack for institutional capital,neutral,0.7799766063690186
Grayscale wants to bring the world's hottest crypto trading frenzy to your brokerage account,neutral,0.8799175024032593
The 5-cent contract that debunked a wartime death conspiracy,neutral,0.8131992220878601
